0:00:00.12,0:00:02.61	الحمايةُ مِنَ التَّلَوُّثِ
0:02:07.77,0:02:13.00	" وَلاَ تُفْسِدُواْ فِي الأَرْضِ بَعْدَ إِصْلاَحِهَا " .
0:02:13.00,0:02:17.81	والحَقيقَةُ أنَّ حِمايَةَ البيئَةِ ومَوارِدِها
0:02:17.81,0:02:24.69	والمُحافَظَةَ عَلَيها واجِبٌ شَخْصي ومَسؤولِيَّةُ كُلِّ إِنْسانٍ
0:02:24.69,0:02:28.91	فَهِيَ قَضِيَّةٌ إِنْسانِيَّةٌ بالدَّرَجَةِ الأولى
0:02:28.91,0:02:33.93	فالإِنْسانُ هوَ مَوضوعُها بَلْ هو غايَتٌها
0:02:33.93,0:02:37.36	ووَسيلَتُها في وَقْتٍ واحِدٍ
0:02:37.36,0:02:44.74	وإِذا صَحَّ القَولُ في الأزْمِنَةِ السّابِقَةِ بِضَرورَةِ حِمايَةِ الإِنْسانِ مِنَ البيئَةِ
0:02:44.74,0:02:47.62	فَقَد تَغَيَّرَ الآنَ إِلى القَولِ
0:02:47.62,0:02:51.83	بِضَرورَةِ حِمايَةِ البيئَةِ مِنَ الإِنْسانِ
0:02:51.83,0:02:56.30	ولكنْ مِنْ أَجْلِ الإِنْسانِ نَفسِهِ .
0:02:56.30,0:03:01.59	هُناكَ ثَلاثَةُ عَواِملَ تُؤَدّي إِلى تَلَوُّثِ البيئَةِ :
0:03:01.59,0:03:08.14	1-	الثَّورَةُ الصِّناعِيَّةُ بِضَخامَتِها
0:03:08.14,0:03:12.72	وهي التي نُشاهِدُ آثارَها ونَلْمَسُها كُلَّ يَومٍ
0:03:13.40,0:03:17.26	ومَعَ هذِهِ الثَّورَةِ بَرَزَتْ قَضِيّتانِ
0:03:17.26,0:03:23.01	هُما : تَلَوُّثُ البيئَةِ واسْتِنْـزافُ  مَوارِدِها
0:03:23.01,0:03:27.16	بَحْيثُ أَصْبَحَ التَّلَوُّثُ يَصِلُ إِلى جِسْمِ الإِنْسانِ
0:03:27.16,0:03:36.52	وإِلى كُلِّ عُضْوٍ مِنْ أَعْضائِهِ الدّاخِلِيَّةِ والخارِجِيَّةِ لتَلَوُّثِ الهَواءِ والماءِ والطَّعامِ .
0:03:36.52,0:03:45.21	1-	الاسْتِعمالُ الخاطِىءُ لِبَعْضِ الَموادِّ في مَجالِ الزِّراعَةِ بِصِفَةٍ خاصَّةٍ
0:03:45.21,0:03:53.01	كالأسْمِدَةِ الطَّبيِعيَّةِ والكيمِيائِيَّةِ بِشَتّى أَنْواعِها والمُبيداتِ الحَشَرِيَّةِ
0:03:53.01,0:03:58.38	فعِنْدَ انْتِقالِ هذِهِ المَوادِّ إِلى التُّرْبَةِ وإِلى المِياه الجَوفِيَّةِ
0:03:58.38,0:04:01.04	عَن طَريقِ الأَمْطارِ والرِّيِ
0:04:01.04,0:04:05.56	تَتَلوَّثُ كِيمِيائِيّاً وهذا ماحَصَلَ
0:04:05.56,0:04:07.94	قُرْبَ مَنابِعَ مائِيَّةٍ
0:04:07.94,0:04:11.60	فأدَّى إِلى تَوَقُّفِها نَتيجَةَ التَّلَوُّثِ
0:04:11.60,0:04:16.81	يُضافُ إِلى ذلِكَ التَلَوُّثُ الناتِجُ عَنِ المُنْشَآتِ الصِّناعِيَّةِ
0:04:16.81,0:04:19.70	وعَمَلِيّاتُ اسْتِخراجِ النِّفْطِ .
0:04:19.70,0:04:22.24	3-	الحُروبُ
0:04:22.24,0:04:26.33	حَيْثُ الأَضْرارُ الفادِحَةُ التي تُلْحِقُها بالبيئَةِ
0:04:26.33,0:04:32.76	وقدْ بَلَغَ ذلِكَ التأثيرُ مَداهُ بِتَفجيرِ القُنْبُلَةِ الذرِّيَّةِ
0:04:32.76,0:04:38.47	في هيروشيما ونَجازاكى في نِهايَةِ الحَرْبِ العالَمِيةِ الثّانِيَةِ
0:04:38.47,0:04:43.68	وهُوَ الأمْرُ الذي كانَ لَهُ أَسْوأُ الأَثَرِ فى الإِنْسانِ
0:04:43.68,0:04:47.38	وفي البيئَةِ التي يَحيا فيها .
0:04:47.38,0:04:50.84	ونَخْتِمُ هذا الكَلامَ بِسُؤالٍ مُهِمِّ :
0:04:50.84,0:04:54.89	كَيْفَ يُمْكِنُ الحَدُّ مِنْ تَلَوُّثِ البيئَةِ
0:04:54.89,0:04:59.52	دونَ أنْ تَتَوقَّفَ عَجَلَةُ النُّمُوِّ الاقْتِصادِي ِّ؟
	
