0:00:00.00,0:00:03.14	َبينَ العَرَبِيَةِ والقُرْآنِ
0:03:26.71,0:03:34.36	بل لقد كانَ للإِسلامِ فَضْلٌ عَظيمٌ في ظهورِ عَدَدٍ لا يُحصَى مِنَ العُلَماءِ غيرِ العَرَبِ،
0:03:34.36,0:03:39.56	نَبَغوا في لُغَةِ العَرَبِ وَعُلومِها مِنْ نَحْوٍ وَصَرْفٍ وبلاغَةٍ،
0:03:39.56,0:03:45.02	وحَسْبُنا سيبويهِ عَالِماً لهذِهِ الطائِفَةِ
0:03:45.02,0:03:50.60	من العلماءِ غيرِ العَرَبِ، الّذينَ بَلَغوا القِمَّةَ في عُلومِ العَرَبِيَّةِ،
0:03:50.60,0:03:53.55	حَتّى أَصْبَحوا مَضْرِبَ المَثَلِ.
0:03:53.55,0:03:59.31	كان للإِسلامِ الفضلُ في نقلِ اللُّغَةِ العَربِيَّةِ، تلكَ النَّقْلَةَ الواسِعَة َ
0:03:59.31,0:04:02.76	من لُغَةِ قَومٍ إِلى لُغَةِ أقوامٍ،
0:04:02.76,0:04:06.17	ومن لُغَةٍ محدودَةٍ بِحْدودِ أصحابها
0:04:06.17,0:04:10.49	إِلى لُغَةِ دَعْوَةٍ، جاءَت إِلى البَشَرِ كافَّة ً،
0:04:10.49,0:04:14.54	فكانَتِ العربِيَّةُ بِذلِكَ لِسانَ تِلْكَ الدَّعْوَةِ،
0:04:14.54,0:04:19.75	ولُغَةَ تلكَ الرِّسالَةِ، ومُستَودَعَ ما صَدَرَ عن تلكَ الرِّسالَةِ
0:04:19.75,0:04:22.76	من فِكْرٍ وحَضارَةٍ .
	
