0:00:00.00,0:00:02.03	كَيفَ تَخْتَارُ مِهْنَتَكَ
0:03:18.02,0:03:21.12	وهذا أَمْرُ لَيس سَهْلاً،
0:03:21.12,0:03:26.36	فَرُبَّما لا يَجِدُ المِهْنَةَ الَّتي تَكونُ مُناسِبَةً لهُ ولِقُدُراتِه،ِ
0:03:26.36,0:03:30.34	ولاسْتِعْداداتِهِ، وقَدْ يَجِدُ الكَثيرَ مِنَ المِهَن
0:03:30.34,0:03:34.32	مُناسِبَةً لمِيُولِهِ ورَغَباتِهِ .
0:03:34.32,0:03:40.09	لكي يَصِلَ الشّابُّ إِلى قَرارٍ سَليمٍ، يَجِبُ أنْ يَكونَ مَرِناً،
0:03:40.09,0:03:45.28	وأن يُدْرِكَ أَنَّهُ يَسْتَطيعُ أن يُتْقِنَ مِهْنَةً مُعَيَّنَةً
0:03:45.28,0:03:47.07	أكْثَرَ مِنْ سِواها،
0:03:47.07,0:03:52.21	وأنَّ هُناكَ مِهنَاً أُخْرَى لا يَقْدِرُ على إِتْقانِها .
0:03:52.21,0:03:55.18	يَحْتاجُ الشّابُّ إِلى التَّدريبِ على المِهْنَةِ،
0:03:55.18,0:03:57.70	الَّتي يَعْتَقِدُ أنهِّا تُناسِبُه،ُ
0:03:57.70,0:04:03.01	وإِلى اكْتِسابِ الخِبْرَةِ فيها، حَتَّى يَحْصُلَ على المَهاراتِ الأساسِيَّة،
0:04:03.01,0:04:05.36	والمَعلوماتِ الخاصَّةِ بِها،
0:04:05.36,0:04:07.36	بِطَريقَةٍٍ عَمَلِيَّةٍ،
0:04:07.36,0:04:11.96	وبِذلِكَ يُعِدُّ نَفْسَهُ لِلْمِهْنَةِ إِعْداداً كافِياً،
0:04:11.96,0:04:14.50	وتَكْثُرُ المُنَافَسةُ أَحْياناً
0:04:14.50,0:04:17.75	حَولَ بَعْضِ المِهَنِ دُونَ بَعْضِها الآخَرِ.
0:04:17.75,0:04:20.33	وبعضُ المِهَنِ لَها بَريقٌ،
0:04:20.33,0:04:23.64	غَير أنَّ أَجْرَ العاملينَ فيها قَليلٌ،
0:04:23.64,0:04:26.99	فَيَجِبُ أَنْ يَكونَ الشابُّ على عِلْمٍ بذلِكَ،
0:04:26.99,0:04:32.47	حينَ يَختارُ مِهْنَتَهُ، وأن يَعرِفَ مَيْزاتِ المِهْنَةِ الحَقيقِيَّةَ.
0:04:32.47,0:04:36.24	والشّابُّ الَّذي يَعْرِفُ نَفْسَهُ حَقَّ المَعْرِفَةِ،
0:04:36.24,0:04:38.66	ويَعْرِفُ الأعْمالَ المُخْتَلِفَةَ،
0:04:38.66,0:04:43.33	يُصبحُ قادِراً على اخْتيارِ ما يُناسِبُهُ مِنَ المِهَنِ،
0:04:43.33,0:04:45.33	فَيَجىءُ اختيارُهُ
0:04:45.33,0:04:47.33	قَريباً مِنَ الصَّوابِ .
0:04:47.33,0:04:49.39	وعلى كُلِّ شابٍّ
0:04:49.39,0:04:52.63	أنْ يُدْرِكَ أنَّ الصِّفاتِ الشَّخْصِيَّةَ تَنمو،
0:04:52.63,0:04:55.93	وأَنَّ الشّابَّ قد يَتَغَيَّرُ في نَفْسِهِ،
0:04:55.93,0:05:00.22	ويَتْبَعُ ذِلكَ اخْتِلافُ رَغَباتِهِ ومُيولِهِ،
0:05:00.22,0:05:03.78	نَتيجَةً لِخِبْرَةٍ جَديدَةٍ اكْتَسَبَها،
0:05:03.78,0:05:05.88	أو ثَقافَةٍ حَصَلَ عليها،
0:05:05.88,0:05:08.30	أو معاشَرَتِهِ أُناساً
0:05:08.30,0:05:10.90	لَمْ يُعاشِرْهُم مِنْ قَبْلُ
0:05:10.90,0:05:14.62	ومِنَ الخَيرِ للشّابِّ في أَثناءِ دِراسَتِهِ
0:05:14.65,0:05:17.90	أَن يَهْتَمَّ كَثيراً بالدَّرْسِ والتَّحْصيلِ
0:05:17.90,0:05:21.79	قَبْلَ أن يَصِلَ إِلى مَرْحَلَةِ اخِتيارِ المِهْنَةِ،
0:05:21.79,0:05:24.82	وأن يَضَعَ لِنَفْسِهِ خُطَّةً مَرِنَةً،
0:05:24.82,0:05:27.56	تَسْمَحُ له بالتَّغييِر والتَّصَرُّفِ،
0:05:27.56,0:05:31.20	حَسبَما يَكْتَسِبُ مِنْ خبْرَةٍ وعِلْمٍ .
	
