0:00:00.00,0:00:02.41	مَفْهُومُ الأمْنِ في الإسْلامِ
0:02:20.33,0:02:25.16	فلا يَجُوزُ الاعْتِداء عَلَيْها وقَتْلُها أَوْ إِيذاؤُها
0:02:25.16,0:02:30.66	وَجَعَلَ عُقوبَةَ مَنْ يَقْتُلُها النّارَ في الآخِرَةِ
0:02:30.66,0:02:35.50	تَكريماً وصِيانَةً لِهذِهِ النَّفْس البَشَرِيَّةِ
0:02:35.50,0:02:44.40	قالَ تَعالى " ولا تَقْتُلُواْ النَّفْسَ الَّتِى حَرَّمَ اللهُ إِلاَّ بِالْحَقِ "
0:02:44.40,0:02:51.87	وقالَ تَعالَى " وَلاَ تُلْقُواْ بِأَيْدِيكُمْ إِلَى التَّهْلُكَةِ "
0:02:53.26,0:02:58.92	وقالَ رَسولُ اللهِ – صَلّى اللهُ عَلَيهِ وَسَلَّمَ – في خُطْبَةِ الوَداعِ
0:02:59.99,0:03:07.97	" أَيُّها النّاسُ إِنَّ دِماءَكُمْ وأمْوالَكُمْ عَليكُمْ حَرامُ كَحُرْمَةِ يَوْمِكُمْ هذا
0:03:07.97,0:03:14.73	في شَهْرِكُمْ هذا في بلدِكُمْ هذا ) .
0:03:14.73,0:03:19.83	والنَّفْسُ البَشَريّةُ لها دَوافِعُها للخَيرِ والشَّرِّ
0:03:19.83,0:03:25.91	وهِيَ بِحُكْمِ طَبيعتِها تَميلُ إِلى ما تَطْمَحُ إِليه
0:03:25.91,0:03:32.40	وتتطلَّع إِلى ما لَمْ تصل إِليه خيراً كانَ أو شَراً
0:03:32.40,0:03:38.01	والأَمْنُ يَرتَبِطُ غالِباً بِنَزْعَةِ الخَيرِ عِنْدَ الإِنْسانِ
0:03:38.01,0:03:43.06	والجَريمَةُ تَرتَبِطُ غالِباً بِنَزْعَةِ الشَّرِّ عِنْدَه
0:03:43.06,0:03:48.42	قالَ تَعالى " وَنَفْسٍ وَمَا سَوَّاهَا
0:03:48.42,0:03:53.36	فَأَلْهَمَهَا فُجُورَهَا وَتَقْواهَا "
0:03:53.36,0:03:59.91	والإِسْلامُ لَمْ يَتْرُكْ صَغيرَةً ولا كَبيرَةً مِنْ سُلوكِ العِبادِ
0:03:59.91,0:04:06.96	إِلا وضَعَ لها قَواعِدَ وأُسُساً تَتَّفِقُ معَ مَصْلَحَةِ الفَرْدِ والجَماعَةِ
0:04:06.96,0:04:13.55	سَواءٌ أكانَ هذا السُّلوكُ عِبادَةً أم مُعامَلَةُ وقرَّرَ عُقوبَةً
0:04:13.55,0:04:18.91	لِكُلِّ فِعْلٍ لا يَتَّفِقُ مع مَصْلَحَةِ الجَماعَةِ والفَرْدِ
0:04:18.91,0:04:25.48	فَتَحَقَّقَ بذلِكَ الأَمْنُ الذاتِيُّ والأَمْنُ في المالِ في النَّسلِ والعِرضِ
0:04:25.57,0:04:30.73	والأَمْنُ في المُعامَلاتِ والأَمْنُ في الحُقوقِ الخاصَّةِ والعامَّةِ
0:04:30.73,0:04:34.78	والأَمْنُ في كَسْبِ العَيشِ الحَلالِ .
0:04:34.78,0:04:40.84	لَقَدْ أَرادَ اللهُ – سُبْحانَهُ وتَعالى – بِهذا الأَمْنِ الشّامِلِ
0:04:40.84,0:04:48.43	حَياةً كَريمَةً لِلْفَرْدِ والجَماعَةِ  ،حَياةً مُسْتَقِرَّةً آمِنَةً
0:04:48.43,0:04:55.15	هادِئَةً لا يُعَكِّرُها سُلوكُ العابِثينَ والمُنْحَرِفيَن والمُجْرِمينَ .
0:04:55.15,0:05:00.03	فَقَرَّرَ الخالِقُ لِكُلِّ عَمَلٍ مُخِلٍّ بأَمْنِ الفَرْدِ والجَماعَةِ
0:05:00.03,0:05:06.96	عُقوبَةً رادِعَةً لِمَن لا يَمْتَثِلُ لأوامِرِ اللهِ ولا يَنْتَهى بِنَواهيهِ
0:05:06.96,0:05:12.12	ولا يَحْرِصُ عَلى مَصْلَحَةِ الجَماعَةِ الَّتي يَنْتَمى إِلَيها
0:05:12.12,0:05:16.00	فَجَعَل حَدَّ القِصاصِ للقاتِلِ المُتَعَمِّدِ .
0:05:16.00,0:05:23.21	قالَ تَعالى " وَلَكُمْ في الْقصَاصِ حَيَاةُ يَآ أُوْلِى الأَلْبَاب "
	
